date	created	modified	released
20130223	1	1	1
20130225	1	0	2
20130228	0	0	1
20130305	1	0	5
20130307	0	0	1
20130308	1	0	2
20130309	0	1	2
20130310	0	0	1
20130311	0	0	1
20130315	0	0	1
20130319	0	0	1
20130321	1	0	11
20130322	0	1	4
20130323	0	1	1
20130326	0	1	1
20130327	1	0	1
20130328	2	0	8
20130329	2	1	29
20130401	0	1	2
20130402	0	0	1
20130403	0	0	2
20130404	0	1	1
20130407	0	0	1
20130411	0	0	2
20130412	1	1	3
20130417	0	0	1
20130420	0	1	1
20130423	1	0	3
20130424	1	0	7
20130426	0	1	2
20130429	1	0	3
20130430	0	0	1
20130503	0	0	2
20130507	0	0	2
20130508	2	0	3
20130509	1	1	2
20130510	2	3	9
20130511	1	0	1
20130512	1	1	1
20130516	0	0	1
20130517	0	0	1
20130520	0	1	1
20130521	2	0	4
20130522	0	0	5
20130523	0	0	7
20130524	0	0	2
20130528	0	0	1
20130531	0	0	4
20130603	0	0	1
20130606	0	0	4
20130607	3	0	9
20130608	0	0	3
20130609	0	0	1
20130610	0	1	2
20130611	0	0	4
20130612	0	1	6
20130613	0	0	1
20130614	0	1	4
20130615	1	1	2
20130618	0	0	4
20130619	0	0	4
20130620	0	0	4
20130621	1	1	1
20130622	1	1	6
20130624	1	1	2
20130625	1	0	2
20130627	2	0	3
20130701	2	2	8
20130704	1	1	1
20130705	0	1	2
20130709	0	0	1
20130710	1	1	1
20130711	0	1	3
20130713	0	0	2
20130714	1	1	1
20130715	1	0	1
20130719	1	1	3
20130722	1	0	2
20130723	1	0	2
20130724	0	0	1
20130725	0	0	4
20130726	0	0	3
20130729	1	0	1
20130731	0	0	1
20130802	0	0	1
20130805	0	0	1
20130806	0	0	1
20130809	1	0	7
20130812	0	0	1
20130813	0	0	2
20130814	0	0	1
20130815	0	0	1
20130816	0	0	3
20130821	0	0	1
20130824	1	1	1
20130826	1	0	2
20130827	0	2	3
20130829	1	0	3
20130830	0	0	1
20130831	0	0	1
20130902	1	0	5
20130903	0	0	2
20130904	1	0	3
20130905	13	3	15
20130906	1	0	9
20130907	1	1	16
20130908	1	1	3
20130909	1	12	17
20130910	0	0	1
20130912	2	1	4
20130916	1	0	1
20130917	0	0	2
20130920	0	0	1
20130921	1	1	3
20130922	1	1	1
20130923	1	1	2
20130926	1	0	1
20130927	0	1	2
20130930	0	0	1
20131003	1	0	4
20131004	1	1	1
20131005	1	0	2
20131006	0	1	5
20131007	1	1	1
20131008	1	1	2
20131010	1	1	3
20131011	0	0	1
20131016	0	0	1
20131018	1	0	1
20131019	1	0	1
20131020	2	0	6
20131021	2	1	4
20131022	0	0	2
20131023	0	0	3
20131024	0	0	1
20131025	2	0	2
20131027	1	0	2
20131028	2	0	5
20131029	4	2	7
20131030	1	0	2
20131031	0	1	1
20131101	0	0	2
20131103	1	0	4
20131104	1	0	2
20131106	0	0	2
20131107	1	1	2
20131108	0	1	1
20131109	0	0	1
20131110	1	0	1
20131111	1	1	1
20131112	1	1	1
20131113	1	0	8
20131114	1	0	6
20131115	0	0	2
20131116	0	0	1
20131117	1	0	2
20131118	0	2	3
20131119	2	1	7
20131120	2	0	7
20131123	1	1	3
20131125	2	2	11
20131126	2	1	3
20131128	1	1	2
20131130	0	0	1
20131201	1	0	4
20131202	0	0	1
20131203	5	3	6
20131204	2	2	6
20131205	1	1	4
20131206	1	0	3
20131207	0	0	2
20131208	1	0	1
20131209	2	0	3
20131210	0	0	1
20131211	1	0	2
20131212	3	3	7
20131213	1	2	3
20131214	0	0	1
20131216	0	1	0
20131217	0	0	9
20131218	1	0	3
20131220	2	2	6
20131224	1	0	2
20131226	0	0	4
20131229	2	0	6
20131230	2	1	2
20131231	0	0	6
20140101	0	0	5
20140102	2	1	4
20140103	0	1	5
20140106	0	0	1
20140107	1	0	1
20140108	0	0	2
20140109	0	0	1
20140110	0	0	1
20140112	1	1	16
20140113	2	0	2
20140114	2	0	7
20140115	0	1	6
20140116	0	0	4
20140117	0	0	4
20140118	1	1	4
20140120	1	1	3
20140121	0	0	3
20140122	2	1	4
20140123	2	3	7
20140124	2	0	3
20140125	0	1	7
20140126	2	0	5
20140127	3	4	11
20140128	2	2	4
20140129	2	2	3
20140131	0	0	3
20140202	1	0	2
20140203	0	0	1
20140204	2	2	5
20140206	2	1	3
20140207	2	2	6
20140208	0	0	2
20140209	1	0	19
20140211	2	1	3
20140212	1	1	2
20140213	1	0	11
20140214	3	0	11
20140216	0	1	1
20140217	2	0	7
20140218	0	0	6
20140219	1	0	4
20140220	3	2	10
20140221	1	1	1
20140222	1	0	4
20140223	1	0	16
20140224	1	0	18
20140225	1	1	10
20140226	0	1	2
20140227	1	1	4
20140228	2	2	2
20140301	0	0	1
20140303	2	1	5
20140304	2	1	10
20140305	1	0	12
20140306	3	2	12
20140307	3	3	9
20140309	2	2	5
20140310	1	1	2
20140311	1	1	1
20140312	2	1	16
20140313	1	1	3
20140314	3	1	11
20140315	0	0	3
20140316	0	0	3
20140317	1	1	9
20140318	1	0	6
20140319	1	1	5
20140320	1	1	4
20140321	0	0	3
20140322	1	1	5
20140323	1	1	5
20140324	0	0	4
20140325	3	1	6
20140326	1	0	5
20140327	4	1	13
20140328	0	0	2
20140329	3	2	9
20140330	0	0	4
20140331	0	1	3
20140401	2	1	7
20140402	1	0	2
20140403	1	0	4
20140404	0	0	1
20140406	1	1	5
20140407	2	1	5
20140408	0	0	3
20140409	1	0	2
20140410	1	0	4
20140411	0	1	1
20140412	1	0	5
20140413	1	0	3
20140414	0	1	1
20140415	1	0	3
20140416	2	0	3
20140417	3	1	15
20140418	0	0	2
20140419	3	2	4
20140420	3	3	3
20140421	2	0	5
20140422	1	1	6
20140423	3	3	18
20140424	2	3	10
20140425	0	0	5
20140426	0	0	3
20140429	2	1	5
20140430	0	1	2
20140501	3	0	5
20140502	1	0	8
20140504	1	0	3
20140505	1	1	3
20140506	0	0	3
20140507	0	1	3
20140508	0	0	5
20140509	1	0	5
20140510	0	1	3
20140511	1	0	2
20140512	1	1	7
20140513	2	2	11
20140514	1	1	1
20140515	1	1	5
20140516	0	0	1
20140517	0	0	1
20140518	2	0	3
20140519	2	2	9
20140520	1	0	1
20140521	3	0	4
20140522	0	0	6
20140523	1	0	6
20140524	2	0	7
20140525	2	1	11
20140526	5	5	10
20140527	0	2	6
20140528	1	1	13
20140529	2	2	7
20140530	0	0	2
20140531	1	1	3
20140601	4	0	5
20140602	1	1	6
20140603	1	1	7
20140604	0	0	12
20140606	2	0	10
20140607	5	0	11
20140608	5	1	15
20140609	1	1	7
20140610	1	1	4
20140611	0	0	7
20140612	2	0	4
20140613	4	2	17
20140614	1	1	20
20140615	0	0	3
20140616	0	0	1
20140617	2	0	9
20140618	3	5	14
20140619	2	2	15
20140620	1	0	5
20140621	0	0	1
20140622	0	1	6
20140623	0	0	6
20140624	4	3	17
20140625	4	1	8
20140626	1	2	11
20140627	2	1	6
20140628	0	0	4
20140629	0	0	9
20140630	1	0	6
20140701	2	1	10
20140702	1	0	8
20140703	2	0	5
20140704	1	0	7
20140705	1	2	6
20140706	1	1	3
20140707	1	0	5
20140708	1	2	7
20140709	1	0	5
20140710	3	4	12
20140711	1	2	8
20140712	1	1	6
20140713	0	0	2
20140714	1	0	3
20140715	1	1	11
20140716	1	0	3
20140717	0	1	7
20140718	0	0	2
20140719	0	1	5
20140720	0	0	3
20140721	1	1	4
20140722	3	2	8
20140723	5	1	8
20140724	0	0	11
20140725	0	1	14
20140726	0	0	4
20140727	2	0	20
20140728	0	1	3
20140729	1	0	3
20140730	1	1	12
20140731	0	1	10
20140801	1	1	3
20140802	1	0	6
20140803	1	1	5
20140804	0	1	6
20140805	0	2	4
20140806	0	0	2
20140807	0	2	4
20140808	1	0	6
20140809	5	2	11
20140810	1	0	3
20140811	1	0	2
20140812	1	1	4
20140813	1	1	6
20140814	0	1	0
20140815	0	0	2
20140816	0	0	2
20140817	0	0	1
20140818	1	0	4
20140819	4	3	12
20140820	2	3	13
20140821	0	1	5
20140822	2	0	7
20140823	1	0	3
20140824	1	2	6
20140825	2	0	7
20140826	5	0	10
20140827	0	0	4
20140828	3	2	22
20140829	3	0	9
20140830	3	1	7
20140831	2	3	11
20140901	1	1	7
20140902	5	0	16
20140903	2	2	10
20140904	2	0	6
20140905	1	1	5
20140906	0	2	3
20140908	3	0	8
20140909	2	1	5
20140910	1	0	6
20140911	5	5	11
20140912	1	0	9
20140913	0	0	5
20140914	3	1	14
20140915	1	2	13
20140916	1	1	6
20140917	2	2	9
20140918	2	1	5
20140919	1	2	4
20140920	1	2	2
20140921	0	0	1
20140922	0	0	3
20140923	7	8	33
20140924	0	2	7
20140925	5	2	10
20140926	1	0	3
20140927	1	0	3
20140928	1	0	2
20140929	2	0	12
20140930	6	1	14
20141001	4	3	11
20141002	1	0	8
20141003	1	0	1
20141004	0	1	2
20141005	0	0	1
20141006	2	0	6
20141007	2	0	8
20141008	0	0	1
20141009	1	2	6
20141010	4	1	14
20141011	3	1	4
20141012	1	1	3
20141013	3	1	10
20141014	2	1	15
20141015	2	0	10
20141016	0	2	6
20141017	0	0	6
20141018	2	0	11
20141019	3	1	6
20141020	3	3	18
20141021	2	1	3
20141022	0	1	7
20141023	2	1	10
20141024	4	0	6
20141025	2	1	10
20141026	2	1	5
20141027	2	2	3
20141028	4	2	10
20141029	0	0	1
20141030	1	0	4
20141031	3	1	9
20141101	4	2	6
20141102	0	1	7
20141103	0	0	16
20141104	0	1	6
20141105	2	0	7
20141106	3	1	23
20141107	2	1	8
20141108	0	3	8
20141109	0	0	2
20141110	1	0	6
20141111	0	0	4
20141112	4	2	61
20141113	2	0	65
20141114	1	2	11
20141115	2	0	35
20141116	1	0	2
20141117	3	4	16
20141118	3	1	3
20141119	2	1	14
20141120	2	2	14
20141121	3	2	9
20141122	4	3	13
20141123	2	1	12
20141124	1	3	7
20141125	1	2	11
20141126	2	2	6
20141127	2	0	9
20141128	0	0	12
20141129	5	1	31
20141130	1	3	31
20141201	0	1	2
20141202	1	0	3
20141203	1	2	7
20141204	2	1	7
20141205	1	1	5
20141206	3	0	4
20141207	1	1	4
20141208	2	1	10
20141209	0	1	6
20141210	2	2	14
20141211	4	3	19
20141212	3	0	6
20141213	2	2	5
20141214	1	1	8
20141215	5	7	35
20141216	2	2	16
20141217	3	1	13
20141218	6	5	21
20141219	6	5	15
20141220	1	0	3
20141221	4	2	14
20141222	1	3	11
20141223	2	0	6
20141224	2	1	9
20141225	1	0	3
20141226	0	2	4
20141227	0	1	1
20141228	1	1	3
20141229	1	2	2
20141230	2	0	5
20141231	4	4	10
20150101	0	0	2
20150102	0	0	2
20150103	1	0	4
20150104	1	0	11
20150105	1	1	4
20150106	2	3	11
20150107	0	1	3
20150108	0	1	6
20150109	3	0	8
20150110	2	2	5
20150111	1	2	6
20150112	0	0	1
20150113	0	1	2
20150114	5	4	20
20150115	2	1	7
20150116	4	2	19
20150117	3	1	12
20150118	1	0	7
20150119	1	1	15
20150120	2	0	4
20150121	1	3	21
20150122	2	4	13
20150123	3	1	9
20150124	1	0	3
20150125	1	1	3
20150126	2	0	6
20150127	6	2	18
20150128	1	2	10
20150129	2	0	15
20150130	5	3	8
20150131	1	0	2
20150201	1	1	4
20150202	2	2	5
20150203	1	2	9
20150204	3	3	18
20150205	2	3	7
20150206	1	2	12
20150207	1	0	4
20150208	0	1	7
20150209	3	2	15
20150210	0	0	2
20150211	0	2	7
20150212	1	0	2
20150213	4	4	24
20150214	1	0	5
20150215	2	0	10
20150216	1	0	5
20150217	2	1	9
20150218	2	2	10
20150219	1	1	6
20150220	3	0	9
20150221	2	0	8
20150222	2	2	7
20150223	2	0	10
20150224	3	2	10
20150225	1	3	16
20150226	1	2	4
20150227	2	3	11
20150228	2	3	11
20150301	1	1	4
20150302	4	1	18
20150303	0	4	9
20150304	0	0	16
20150305	5	5	10
20150306	2	1	19
20150307	0	1	15
20150308	1	0	2
20150309	1	0	8
20150310	4	3	13
20150311	0	0	2
20150312	0	0	4
20150313	3	1	12
20150314	2	0	9
20150315	4	1	15
20150316	2	3	8
20150317	3	3	16
20150318	1	0	7
20150319	0	1	5
20150320	2	2	7
20150321	2	1	3
20150323	0	0	4
20150324	0	1	9
20150325	5	4	18
20150326	0	2	3
20150327	0	1	2
20150329	2	0	3
20150330	0	1	4
20150331	2	1	6
20150401	3	2	16
20150402	4	4	15
20150403	2	3	38
20150404	1	1	6
20150405	1	0	5
20150406	3	3	11
20150407	0	0	2
20150408	0	1	2
20150409	0	0	5
20150410	5	1	13
20150411	0	1	5
20150412	1	1	7
20150413	2	2	15
20150414	4	5	16
20150415	3	3	11
20150416	1	1	4
20150417	2	1	9
20150418	0	0	6
20150419	0	1	1
20150420	4	3	21
20150421	5	2	13
20150422	5	3	16
20150423	3	2	15
20150424	1	1	28
20150425	0	3	0
20150426	4	1	21
20150427	2	1	18
20150428	2	1	14
20150429	1	3	12
20150430	3	0	9
20150501	1	1	4
20150502	1	0	6
20150503	1	1	6
20150504	1	0	5
20150505	2	2	12
20150506	3	0	15
20150507	3	5	24
20150508	2	3	11
20150509	1	0	1
20150510	3	1	8
20150511	2	2	16
20150512	2	1	16
20150513	2	2	16
20150514	0	0	3
20150515	1	3	8
20150516	1	1	1
20150517	5	3	9
20150518	2	1	4
20150519	1	2	8
20150520	1	0	7
20150521	3	3	12
20150522	2	2	3
20150523	2	3	3
20150524	1	2	2
20150525	1	2	7
20150526	4	3	8
20150527	1	1	11
20150528	3	3	12
20150529	2	0	6
20150530	1	2	7
20150531	0	0	1
20150601	5	2	17
20150602	4	5	8
20150603	5	2	9
20150604	2	2	7
20150605	3	3	23
20150606	0	0	7
20150607	4	1	8
20150608	2	1	9
20150609	5	3	26
20150610	1	1	11
20150611	3	2	23
20150612	5	5	33
20150613	0	1	3
20150614	2	1	5
20150615	0	1	4
20150616	5	3	15
20150617	4	5	25
20150618	1	1	21
20150619	1	0	4
20150620	1	1	9
20150621	2	0	5
20150622	2	0	12
20150623	3	4	15
20150624	5	1	20
20150625	3	4	12
20150626	4	2	17
20150627	2	3	17
20150628	2	0	6
20150629	7	2	17
20150630	4	3	19
20150701	3	3	14
20150702	3	3	14
20150703	2	1	5
20150704	2	1	3
20150705	1	3	12
20150706	2	1	19
20150707	3	0	8
20150708	3	2	9
20150709	2	1	15
20150710	3	3	15
20150711	2	2	12
20150712	2	1	4
20150713	6	3	17
20150714	1	2	14
20150715	1	0	6
20150716	2	4	15
20150717	1	1	5
20150718	0	1	4
20150719	1	0	7
20150720	1	1	17
20150721	1	2	29
20150722	3	0	18
20150723	2	3	21
20150724	2	3	18
20150725	3	3	12
20150726	3	4	18
20150727	4	2	12
20150728	4	2	15
20150729	2	3	14
20150730	1	4	11
20150731	1	1	6
20150801	0	2	3
20150802	4	3	12
20150803	4	2	7
20150804	2	1	9
20150805	2	3	11
20150806	3	2	10
20150807	3	0	20
20150808	3	2	30
20150809	1	2	27
20150810	4	1	19
20150811	2	2	23
20150812	3	3	15
20150813	3	3	9
20150814	2	1	5
20150815	1	1	2
20150816	2	1	10
20150817	0	2	5
20150818	4	2	14
20150819	3	0	9
20150820	3	1	7
20150821	0	0	1
20150822	1	2	8
20150823	5	3	14
20150824	5	5	30
20150825	4	3	17
20150826	3	1	41
20150827	1	4	24
20150828	6	6	24
20150829	1	0	7
20150830	0	0	1
20150831	2	4	9
20150901	1	1	5
20150902	3	0	8
20150903	2	5	16
20150904	1	2	3
20150905	8	4	13
20150906	3	2	11
20150907	3	3	10
20150908	1	1	8
20150909	0	1	4
20150910	3	1	9
20150911	2	4	8
20150912	2	1	5
20150913	2	2	7
20150914	2	3	12
20150915	1	2	8
20150916	2	2	9
20150917	3	3	20
20150918	3	3	11
20150919	0	0	2
20150920	0	1	2
20150921	1	1	1
20150922	4	3	6
20150923	2	2	11
20150924	4	2	9
20150925	2	1	13
20150926	0	1	7
20150927	2	1	19
20150928	2	2	9
20150929	7	3	33
20150930	2	2	20
20151001	3	2	40
20151002	8	3	31
20151003	4	2	32
20151004	0	1	26
20151005	4	1	13
20151006	2	3	23
20151007	2	2	12
20151008	2	2	7
20151009	2	1	10
20151010	3	1	7
20151011	1	1	7
20151012	5	2	19
20151013	3	2	15
20151014	1	2	7
20151015	4	2	11
20151016	3	1	8
20151017	4	5	14
20151018	2	0	4
20151019	1	3	11
20151020	4	3	18
20151021	3	0	4
20151022	2	4	46
20151023	2	1	10
20151024	3	1	38
20151025	2	0	8
20151026	4	3	15
20151027	1	1	14
20151028	7	5	48
20151029	2	2	20
20151030	10	5	53
20151031	2	0	14
20151101	0	4	17
20151102	2	2	16
20151103	2	2	18
20151104	2	2	13
20151105	2	2	12
20151106	3	5	15
20151107	0	0	4
20151108	0	0	3
20151109	3	6	15
20151110	5	0	26
20151111	3	1	22
20151112	1	5	45
20151113	3	1	14
20151114	2	0	20
20151115	1	2	8
20151116	1	2	9
20151117	2	2	17
20151118	2	2	14
20151119	2	4	12
20151120	3	4	16
20151121	2	4	12
20151123	0	0	2
20151124	0	1	4
20151125	1	3	8
20151126	1	2	3
20151127	2	0	5
20151128	1	2	4
20151129	2	0	10
20151130	3	0	12
20151201	2	0	18
20151202	3	1	8
20151203	2	3	10
20151204	3	3	12
20151205	0	0	4
20151206	0	0	4
20151207	0	0	8
20151208	6	1	18
20151209	1	2	7
20151210	3	1	8
20151211	1	1	8
20151212	4	1	9
20151213	1	3	5
20151214	3	2	9
20151215	1	1	10
20151216	4	2	13
20151217	0	1	5
20151218	1	0	11
20151219	1	1	1
20151220	1	1	3
20151221	1	1	7
20151222	1	0	9
20151223	1	0	3
20151224	1	4	13
20151225	0	0	3
20151226	2	1	3
20151227	1	0	2
20151228	2	2	6
20151229	3	1	11
20151230	1	1	9
20151231	2	1	13
20160101	0	0	2
20160102	2	0	10
20160103	2	1	3
20160104	4	2	19
20160105	3	2	18
20160106	4	1	27
20160107	2	1	26
20160108	3	2	10
20160109	2	1	8
20160110	0	0	3
20160111	1	3	10
20160112	6	3	23
20160113	2	3	26
20160114	5	3	27
20160115	3	0	7
20160116	1	1	5
20160117	5	3	7
20160118	1	3	10
20160119	3	5	15
20160120	3	4	13
20160121	2	3	10
20160122	2	0	8
20160123	1	0	5
20160124	1	0	4
20160125	3	3	17
20160126	2	1	6
20160127	3	4	16
20160128	3	2	17
20160129	0	1	16
20160130	7	2	20
20160131	1	4	8
20160201	1	2	29
20160202	1	0	9
20160203	2	1	14
20160204	2	6	17
20160205	3	1	10
20160206	2	4	15
20160207	2	1	5
20160208	5	2	12
20160209	4	1	20
20160210	1	0	8
20160211	3	3	16
20160212	2	1	21
20160213	4	3	11
20160214	2	1	10
20160215	1	0	15
20160216	6	7	22
20160217	2	3	11
20160218	3	2	22
20160219	2	2	18
20160220	4	2	15
20160221	3	3	6
20160222	2	5	24
20160223	3	2	13
20160224	3	3	25
20160225	5	2	19
20160226	3	1	19
20160227	0	2	2
20160228	0	0	2
20160229	0	0	7
20160301	1	0	5
20160302	3	3	12
20160303	3	1	37
20160304	2	1	21
20160305	2	3	14
20160306	8	5	36
20160307	0	0	7
20160308	3	3	7
20160309	1	0	10
20160310	5	0	19
20160311	2	3	8
20160312	1	1	7
20160313	1	0	13
20160314	2	2	11
20160315	0	2	12
20160316	4	0	9
20160317	3	2	17
20160318	2	3	11
20160319	1	1	5
20160320	1	1	8
20160321	2	2	12
20160322	3	5	19
20160323	1	1	17
20160324	0	2	7
20160325	2	1	10
20160326	2	2	3
20160327	3	2	25
20160328	4	2	16
20160329	0	1	9
20160330	4	3	22
20160331	3	1	11
20160401	2	3	12
20160402	0	0	1
20160403	1	0	5
20160404	1	3	18
20160405	3	0	19
20160406	2	2	24
20160407	1	1	16
20160408	1	1	9
20160409	2	0	9
20160410	2	2	9
20160411	2	2	34
20160412	4	3	20
20160413	1	0	16
20160414	3	3	25
20160415	7	3	31
20160416	1	2	9
20160417	2	2	5
20160418	0	2	28
20160419	1	0	14
20160420	4	2	19
20160421	5	0	15
20160422	6	8	27
20160423	2	1	5
20160424	3	1	7
20160425	1	3	31
20160426	2	4	31
20160427	7	5	40
20160428	0	2	16
20160429	3	4	24
20160501	2	3	10
20160502	3	1	15
20160503	4	5	16
20160504	2	2	12
20160505	1	2	7
20160506	1	6	15
20160507	1	1	3
20160508	2	1	3
20160509	1	0	8
20160510	5	4	27
20160511	4	3	14
20160512	1	1	13
20160513	2	0	5
20160514	4	1	9
20160515	3	1	10
20160516	2	3	15
20160517	1	1	5
20160518	0	4	14
20160519	1	1	5
20160520	2	4	12
20160521	1	2	4
20160522	1	0	2
20160523	0	0	12
20160524	3	0	26
20160525	0	2	9
20160526	1	2	13
20160527	2	1	5
20160528	3	3	17
20160529	3	6	13
20160530	2	2	12
20160531	1	2	12
20160601	2	1	13
20160602	2	1	13
20160603	2	3	17
20160604	0	0	3
20160605	2	1	7
20160606	1	3	15
20160607	9	4	24
20160608	0	1	13
20160609	1	2	11
20160610	4	4	29
20160611	0	0	1
20160612	2	4	8
20160613	0	1	4
20160614	2	2	8
20160615	4	3	6
20160616	2	2	9
20160617	1	1	5
20160618	3	1	6
20160619	2	2	6
20160620	4	3	20
20160621	1	1	11
20160622	3	4	21
20160623	2	0	5
20160624	2	2	9
20160625	0	0	1
20160627	0	2	8
20160628	1	1	5
20160629	4	1	28
20160630	0	0	6
20160701	4	5	17
20160702	1	0	2
20160703	0	0	1
20160704	2	0	22
20160705	2	3	12
20160706	1	2	8
20160707	3	5	15
20160708	4	2	28
20160709	0	0	3
20160710	1	1	3
20160711	2	2	13
20160712	1	3	12
20160713	2	1	8
20160714	1	2	7
20160715	5	2	23
20160716	2	1	5
20160717	0	2	5
20160718	1	0	15
20160719	3	3	14
20160720	1	0	3
20160721	1	1	9
20160722	2	1	9
20160723	1	1	7
20160724	3	1	8
20160725	0	2	7
20160726	5	2	19
20160727	1	1	13
20160728	9	4	20
20160729	3	7	16
20160730	0	0	3
20160731	1	0	2
20160801	7	2	11
20160802	14	5	29
20160803	5	2	11
20160804	3	3	23
20160805	1	1	14
20160806	1	0	5
20160807	0	0	2
20160808	0	0	9
20160809	4	5	14
20160810	1	1	4
20160811	2	1	13
20160812	2	5	19
20160813	0	0	1
20160814	1	2	8
20160815	3	2	24
20160816	2	2	18
20160817	3	2	16
20160818	2	2	23
20160819	4	4	21
20160820	0	0	2
20160821	2	1	7
20160822	3	2	16
20160823	1	2	18
20160824	5	4	44
20160825	1	3	44
20160826	2	1	28
20160827	1	1	5
20160828	1	1	6
20160829	1	1	28
20160830	1	2	17
20160831	2	4	38
20160901	3	0	11
20160902	2	12	33
20160903	0	0	2
20160904	3	2	13
20160905	2	3	6
20160906	0	5	19
20160907	1	1	8
20160908	0	4	12
20160909	1	5	17
20160910	1	1	4
20160911	0	0	2
20160912	1	4	30
20160913	1	1	13
20160914	0	2	10
20160915	2	2	10
20160916	1	5	11
20160917	1	1	7
20160918	1	0	1
20160919	1	1	3
20160920	2	3	7
20160921	1	0	7
20160922	0	3	9
20160923	0	0	8
20160924	2	1	3
20160925	1	0	9
20160926	1	3	9
20160927	2	5	6
20160928	1	2	8
20160929	2	2	17
20160930	0	0	5
20161001	0	1	9
20161002	1	23	7
20161003	0	1	2
20161004	1	2	7
20161005	3	2	4
20161006	3	4	12
20161007	4	2	20
20161008	3	2	7
20161009	1	1	7
20161010	2	1	4
20161011	3	3	12
20161012	1	0	8
20161013	0	5	11
20161014	4	4	9
20161015	3	1	14
20161016	0	1	4
20161017	1	3	8
20161018	1	0	5
20161019	0	1	2
20161020	2	1	10
20161021	1	2	6
20161022	2	1	5
20161024	3	1	22
20161025	3	2	11
20161026	3	3	11
20161027	1	1	5
20161028	0	1	3
20161030	0	3	4
20161031	2	1	6
20161101	1	0	3
20161102	5	3	10
20161103	4	6	8
20161104	1	2	11
20161105	0	1	6
20161107	1	2	6
20161108	8	5	14
20161109	0	0	5
20161110	2	2	10
20161111	2	1	18
20161112	1	1	3
20161113	0	0	3
20161114	2	1	9
20161115	1	3	12
20161116	1	0	5
20161117	4	4	19
20161118	1	5	16
20161119	1	4	2
20161121	3	2	19
20161122	0	0	3
20161123	1	1	4
20161124	0	0	3
20161125	1	0	3
20161127	2	3	5
20161128	3	2	9
20161129	3	5	20
20161130	0	1	5
20161201	1	1	7
20161202	0	0	5
20161203	1	1	5
20161204	0	1	8
20161205	0	1	9
20161206	0	1	5
20161207	1	1	10
20161208	0	1	3
20161209	3	0	8
20161210	2	3	6
